,date,price_usd
902,2022-06-22,106.22
903,2022-06-23,105.75
904,2022-06-24,109.07
905,2022-06-25,109.07
906,2022-06-26,109.07
907,2022-06-27,111.44
908,2022-06-28,113.66
909,2022-06-29,111.65
910,2022-06-30,107.76
911,2022-07-01,110.3
912,2022-07-02,110.3
913,2022-07-03,110.3
914,2022-07-04,110.3
915,2022-07-05,101.55
916,2022-07-06,100.31
917,2022-07-07,104.62
918,2022-07-08,106.78
919,2022-07-09,106.78
920,2022-07-10,106.78
921,2022-07-11,106.09
922,2022-07-12,97.69
923,2022-07-13,98.44
924,2022-07-14,97.79
925,2022-07-15,99.59
926,2022-07-16,99.59
927,2022-07-17,99.59
928,2022-07-18,104.48
929,2022-07-19,106.12
930,2022-07-20,104.45
931,2022-07-21,98.44
932,2022-07-22,97.71
933,2022-07-23,97.71
934,2022-07-24,97.71
935,2022-07-25,99.83
936,2022-07-26,97.74
937,2022-07-27,100.03
938,2022-07-28,99.11
939,2022-07-29,101.31
940,2022-07-30,101.31
941,2022-07-31,101.31
942,2022-08-01,96.59
943,2022-08-02,97.14
944,2022-08-03,93.25
945,2022-08-04,91.29
946,2022-08-05,91.77
947,2022-08-06,91.77
948,2022-08-07,91.77
949,2022-08-08,93.52
950,2022-08-09,93.18
951,2022-08-10,94.68
952,2022-08-11,97.02
953,2022-08-12,94.86
954,2022-08-13,94.86
955,2022-08-14,94.86
956,2022-08-15,92.24
957,2022-08-16,89.23
958,2022-08-17,90.85
959,2022-08-18,93.2
960,2022-08-19,93.55
961,2022-08-20,93.55
962,2022-08-21,93.55
963,2022-08-22,93.42
964,2022-08-23,96.46
965,2022-08-24,95.52
966,2022-08-25,93.33
967,2022-08-26,93.63
968,2022-08-27,93.63
969,2022-08-28,93.63
970,2022-08-29,97.4
971,2022-08-30,92.08
972,2022-08-31,90.09
973,2022-09-01,87.09
974,2022-09-02,87.29
975,2022-09-03,87.29
976,2022-09-04,87.29
977,2022-09-05,87.29
978,2022-09-06,87.35
979,2022-09-07,82.5
980,2022-09-08,84.04
981,2022-09-09,87.27
982,2022-09-10,87.27
983,2022-09-11,87.27
984,2022-09-12,88.18
985,2022-09-13,87.84
986,2022-09-14,88.88
987,2022-09-15,85.72
988,2022-09-16,85.57
989,2022-09-17,85.57
990,2022-09-18,85.57
991,2022-09-19,86.15
992,2022-09-20,84.69
993,2022-09-21,83.38
994,2022-09-22,84.02
995,2022-09-23,79.07
996,2022-09-24,79.07
997,2022-09-25,79.07
998,2022-09-26,77.17
999,2022-09-27,78.91
1000,2022-09-28,82.61
1001,2022-09-29,81.78
1002,2022-09-30,79.91
1003,2022-10-01,79.91
1004,2022-10-02,79.91
1005,2022-10-03,84.05
1006,2022-10-04,86.87
1007,2022-10-05,88.22
1008,2022-10-06,88.9
1009,2022-10-07,93.07
1010,2022-10-08,93.07
1011,2022-10-09,93.07
1012,2022-10-10,91.6
1013,2022-10-11,89.75
1014,2022-10-12,87.83
1015,2022-10-13,89.59
1016,2022-10-14,86.1
1017,2022-10-15,86.1
1018,2022-10-16,86.1
1019,2022-10-17,86.0
1020,2022-10-18,83.29
1021,2022-10-19,86.0
1022,2022-10-20,86.02
1023,2022-10-21,85.47
1024,2022-10-22,85.47
1025,2022-10-23,85.47
1026,2022-10-24,86.12
1027,2022-10-25,86.93
1028,2022-10-26,89.39
1029,2022-10-27,89.06
1030,2022-10-28,87.85
1031,2022-10-29,87.85
1032,2022-10-30,87.85
1033,2022-10-31,86.54
1034,2022-11-01,88.36
1035,2022-11-02,90.06
1036,2022-11-03,88.14
1037,2022-11-04,92.58
1038,2022-11-05,92.58
1039,2022-11-06,92.58
1040,2022-11-07,91.8
1041,2022-11-08,88.8
1042,2022-11-09,85.79
1043,2022-11-10,86.52
1044,2022-11-11,89.14
1045,2022-11-12,89.14
1046,2022-11-13,89.14
1047,2022-11-14,85.85
1048,2022-11-15,86.87
1049,2022-11-16,85.62
1050,2022-11-17,81.69
1051,2022-11-18,80.07
1052,2022-11-19,80.07
1053,2022-11-20,80.07
1054,2022-11-21,79.74
1055,2022-11-22,80.83
1056,2022-11-23,77.93
1057,2022-11-24,77.93
1058,2022-11-25,76.45
1059,2022-11-26,76.45
1060,2022-11-27,76.45
1061,2022-11-28,77.1
1062,2022-11-29,77.96
1063,2022-11-30,80.48
1064,2022-12-01,81.06
1065,2022-12-02,79.86
1066,2022-12-03,79.86
